epoch: 139, step: 7311, time: 23.5, train: 1.157, valid: 1.651, train_acc: 0.982, valid_acc: 0.902
epoch: 140, step: 7363, time: 24.2, train: 1.156, valid: 1.624, train_acc: 0.983, valid_acc: 0.903
epoch: 141, step: 7415, time: 25.9, train: 1.170, valid: 1.631, train_acc: 0.979, valid_acc: 0.904
epoch: 142, step: 7467, time: 24.9, train: 1.153, valid: 1.575, train_acc: 0.984, valid_acc: 0.911
epoch: 143, step: 7519, time: 26.9, train: 1.153, valid: 1.636, train_acc: 0.983, valid_acc: 0.904
epoch: 144, step: 7572, time: 23.8, train: 1.154, valid: 1.588, train_acc: 0.983, valid_acc: 0.910
epoch: 145, step: 7625, time: 26.7, train: 1.159, valid: 1.633, train_acc: 0.982, valid_acc: 0.905
epoch: 146, step: 7678, time: 26.2, train: 1.157, valid: 1.552, train_acc: 0.982, valid_acc: 0.912
epoch: 147, step: 7730, time: 25.3, train: 1.157, valid: 1.641, train_acc: 0.982, valid_acc: 0.904
epoch: 148, step: 7783, time: 23.5, train: 1.157, valid: 1.636, train_acc: 0.982, valid_acc: 0.902
epoch: 149, step: 7836, time: 26.4, train: 1.147, valid: 1.624, train_acc: 0.985, valid_acc: 0.906
epoch: 150, step: 7888, time: 26.3, train: 1.148, valid: 1.657, train_acc: 0.985, valid_acc: 0.901
epoch: 151, step: 7940, time: 26.7, train: 1.154, valid: 1.603, train_acc: 0.983, valid_acc: 0.908
epoch: 152, step: 7992, time: 23.3, train: 1.154, valid: 1.596, train_acc: 0.983, valid_acc: 0.910
epoch: 153, step: 8045, time: 23.1, train: 1.146, valid: 1.657, train_acc: 0.985, valid_acc: 0.902
epoch: 154, step: 8098, time: 23.2, train: 1.153, valid: 1.634, train_acc: 0.983, valid_acc: 0.903
epoch: 155, step: 8150, time: 25.7, train: 1.154, valid: 1.611, train_acc: 0.983, valid_acc: 0.907
epoch: 156, step: 8203, time: 25.7, train: 1.146, valid: 1.552, train_acc: 0.985, valid_acc: 0.915
